S.No.,Code,Name,,,,,,,,,,Main City,State,,Rank,,,,,,,,,,,,,,,
57,IR-E-U-0297,"Defence Institute of Advanced TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Pune,Maharashtra,43.29,57,,66.68,32.43,,41.05,,47.69,,5.8,,,,,,
58,IR-E-U-0149,"Sardar Vallabhbhai National Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Surat,Gujarat,41.88,58,,51.01,27.6,,60.91,,51.3,,9.92,,,,,,
59,IR-E-C-24004,"College of Engineering VisakhapatnamMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Visakhapatnam,Andhra Pradesh,41.72,59,,65.78,7.41,,67.66,,55.88,,6.51,,,,,,
60,IR-E-U-0189,"National Institute of Technology HamirpurMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Hamirpur,Himachal Pradesh,41.48,60,,54.71,23,,60.48,,52.12,,8.59,,,,,,
61,IR-E-U-0458,"Kalasalingam Academy of Research and Higher EducationMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Srivilliputtur,Tamil Nadu,41.26,61,,67.6,14.08,,53.96,,55.7,,3.95,,,,,,
62,IR-E-U-0284,"Maulana Azad National Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Bhopal,Madhya Pradesh,40.98,62,,53.27,24.05,,66.59,,40.74,,3.95,,,,,,
63,IR-E-C-1269,"R. V. College of EngineeringMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Bengaluru,Karnataka,40.88,63,,63.58,10.81,,60.99,,50.62,,13.06,,,,,,
64,IR-E-C-1331,"M. S. Ramaiah Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Bengaluru,Karnataka,40.54,64,,62.87,8.61,,60.49,,56.32,,13.66,,,,,,
65,IR-E-U-0221,"International Institute of Information Technology BangaloreMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Bengaluru,Karnataka,40.51,65,,54.81,14.26,,61.96,,55.76,,18.19,,,,,,
66,IR-E-S-8931,"National Institute of Industrial EngineeringMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Mumbai,Maharashtra,40.48,66,,64.8,4.46,,67.54,,57.18,,4.7,,,,,,
67,IR-E-U-0619,"National Institute of Technology MeghalayaMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Shillong,Meghalaya,40.32,67,,65.85,18.2,,44.33,,58.13,,4.33,,,,,,
68,IR-E-C-36969,"Coimbatore Institute of TechnologyMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Coimbatore,Tamil Nadu,40.1,68,,63.46,9.75,,50.95,,46.48,,32.94,,,,,,
69,IR-E-C-1262,"B. M. S. College of EngineeringMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Bengaluru,Karnataka,39.67,69,,62,8.01,,58.99,,53.02,,15.71,,,,,,
70,IR-E-U-0493,"National Institute of Technology AgartalaMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Agartala,Tripura,39.53,70,,58.62,20.58,,49.02,,52.46,,7.22,,,,,,
71,IR-E-C-43708,"College of EngineeringMore DetailsClose |  Close |  
TLR (100)",RPC (100),,GO (100),,OI (100),,PERCEPTION (100),,,Thiruvananthapuram,Kerala,39.42,71,,59.95,8.9,,60.96,,49.4,,16.27,,,,,,
