S.No.,Name,Main City,State,Rank
168,"D. Y. Patil Pratishthans D.Y. Patil College of Engineering",Pune,Maharashtra
169,"Daita Madhusudana Sastry Sri Venkateswara Hindu College of Engineering",Machilipatnam,Andhra Pradesh
170,"DARSHAN INSTITUTE OF ENGG. & TECH., RAJKOT-MORBI HIGHWAY, HADALA 054 ",Rajkot,Gujarat
171,"Datta Meghe Institute of Engineering Technology and Research",Wardha,Maharashtra
172,"Dayalbagh Educational Institute",Agra,Uttar Pradesh,84
173,"Dayananda Sagar Academy of Technology & Management Technical Campus",Bengaluru,Karnataka
174,"Dayananda Sagar College of Engineering",Bengaluru,Karnataka,127
175,"DAYANANDA SAGAR UNIVERSITY",Bengaluru,Karnataka
176,"Deenbandhu Chhotu Ram University of Science & Technology",Sonipat,Haryana
177,"Defence Institute of Advanced Technology",Pune,Maharashtra,57
178,"Delhi Institute of Tool Engineering",Delhi,Delhi
179,"Delhi Technological University",New Delhi,Delhi,34
180,"Deogiri Technical Campus for Engineering and Management Studies",Aurangabad,Maharashtra
181,"Desh Bhagat University",Gobindgarh,Punjab
182,"Devi Ahilya Vishwavidyalaya",Indore,Madhya Pradesh
183,"Dhanalakshmi Srinivasan College of Engineering",Coimbatore,Tamil Nadu
184,"Dharmsinh Desai University",Nadiad,Gujarat
185,"Dhirubhai Ambani Institute of Information and Communication Technology",Gandhinagar,Gujarat,92
186,"Dhole Patil Education Society`s, Dhole Patil College of Engineering",Pune,Maharashtra
187,"DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY",Dibrugarh,Assam
188,"DIT University",Dehradun,Uttarakhand
189,"DMI Engineering College",Kanyakumari,Tamil Nadu
190,"DON BOSCO COLLEGE OF ENGINEERING, FATORDA, MARGAO",South Goa,Goa
191,"Don Bosco Institute of Technology, BANGALORE",Bengaluru,Karnataka
192,"DR D Y PATIL EDUCATIONAL ACADEMYS DR D Y PATIL SCHOOL OF ENGINEERING ACADEMY, AMBI, TALEGAON, PUNE",Pune,Maharashtra
193,"Dr. Ambedkar Institute of Technology",Bengaluru,Karnataka,163
194,"Dr. B. R. Ambedkar Institute of Technology",South Andaman,Andaman and Nicobar Islands,198
195,"Dr. B. R. Ambedkar National Institute of Technology",Jalandhar,Punjab,113
196,"Dr. Babasaheb Ambedkar College of Engineering and Research",Nagpur,Maharashtra
197,"Dr. Babasaheb Ambedkar Technological University",Raigarh,Maharashtra
